type,title,platform,url
screenshot,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/ss_0668f78d6011ae15ade461ec699db5ea95a84040.1920x1080_1532506815.jpg
screenshot_thumbnail,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/cache/200x120/ss_0668f78d6011ae15ade461ec699db5ea95a84040.1920x1080_1532506815.jpg
screenshot,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/ss_b3fdaf14bb5d4d0b8009a3c9a6bed404b68c2a82.1920x1080_1532506816.jpg
screenshot_thumbnail,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/cache/200x120/ss_b3fdaf14bb5d4d0b8009a3c9a6bed404b68c2a82.1920x1080_1532506816.jpg
screenshot,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/ss_bd23da328a89435910c903101e162b2ce2348f48.1920x1080_1532506817.jpg
screenshot_thumbnail,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/cache/200x120/ss_bd23da328a89435910c903101e162b2ce2348f48.1920x1080_1532506817.jpg
screenshot,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/ss_dd4430c6d9fe0f114008412aec6450099600fb1d.1920x1080_1532506818.jpg
screenshot_thumbnail,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/cache/200x120/ss_dd4430c6d9fe0f114008412aec6450099600fb1d.1920x1080_1532506818.jpg
screenshot,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/ss_edf456ee8955f55ab28f1eb22591b7cfa42f5732.1920x1080_1532506818.jpg
screenshot_thumbnail,"3DMark Advanced Edition Steam CD Key",Steam,https://static.kinguin.net/media/category/s/s/cache/200x120/ss_edf456ee8955f55ab28f1eb22591b7cfa42f5732.1920x1080_1532506818.jpg
cover,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/hi_image/9df78eab33525d08d6e5fb8d27136e95/3d_mark_800_2.jpg
thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/header_292x136_120_2.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/3/-/3-1024_2225_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/3/-/cache/200x120/3-1024_2225_1.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/5/-/5-1024_2088_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/5/-/cache/200x120/5-1024_2088_1.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/4/-/4-1024_2187_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/4/-/cache/200x120/4-1024_2187_1.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/2/-/2-1024_2238_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/2/-/cache/200x120/2-1024_2238_1.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/1/-/1-1024_2258_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/1/-/cache/200x120/1-1024_2258_1.jpg
screenshot,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/6/-/6-1024_1833_1.jpg
screenshot_thumbnail,"3DMark EU PC Steam CD Key",Steam,https://static.kinguin.net/media/category/6/-/cache/200x120/6-1024_1833_1.jpg
cover,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/hi_image/9df78eab33525d08d6e5fb8d27136e95/3d_mark_800.jpg
thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/header_292x136_120.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/3/-/3-1024_2225.jpg
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/3/-/cache/200x120/3-1024_2225.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/5/-/5-1024_2088.jpg
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/5/-/cache/200x120/5-1024_2088.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/4/-/4-1024_2187.jpg
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/4/-/cache/200x120/4-1024_2187.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/2/-/2-1024_2238.jpg
